telemetry,mgmt-framework,snmp,lldp,pmon,radv,syncd,bgp,teamd,swss,database,System CPU%,Time
1.23,0.03,5.88,0.06,0.05,0.04,11.39,2.36,0.07,0.87,15.31,1.4,Tue 01 Nov 2022 01:57:25 PM UTC
1.17,0.04,9.06,0.07,0.05,0.03,14.63,9.04,0.08,0.74,8.01,4.3,Tue 01 Nov 2022 01:57:53 PM UTC
1.35,0.04,0.88,0.05,0.05,0.03,18.82,0.31,0.24,1.24,6.72,2.9,Tue 01 Nov 2022 01:58:21 PM UTC
0.88,0.04,15.36,0.1,0.05,0.03,10.61,0.33,0.05,0.37,7.23,2.9,Tue 01 Nov 2022 01:58:49 PM UTC
1.36,0.03,17.13,0.05,0.06,0.04,11.28,1.1,0.12,0.59,9.43,4.3,Tue 01 Nov 2022 01:59:17 PM UTC
1.39,0.06,1.31,0.06,0.05,0.04,12.67,3.15,0.08,0.5,19.77,2.9,Tue 01 Nov 2022 01:59:45 PM UTC
1.29,0.02,9.51,0.06,0.03,0.04,9.22,0.9,0.08,0.52,5.55,1.5,Tue 01 Nov 2022 02:00:13 PM UTC
1.26,0.04,16.49,0.05,0.05,0.03,12.1,0.63,0.3,1.42,10.38,2.9,Tue 01 Nov 2022 02:00:41 PM UTC
1.11,0.03,3.4,6.43,0.05,0.02,13.85,8.38,0.07,0.61,10.74,2.9,Tue 01 Nov 2022 02:01:09 PM UTC
1.67,0.04,25.82,0.05,0.05,0.04,12.6,0.4,0.08,0.69,17.13,2.9,Tue 01 Nov 2022 02:01:37 PM UTC
8.6,0.04,12.13,0.17,0.05,0.04,10.48,2.39,0.08,0.42,16.73,2.9,Tue 01 Nov 2022 02:02:05 PM UTC
1.22,0.02,0.23,0.23,0.04,0.03,11.14,0.77,0.07,0.37,12.38,1.4,Tue 01 Nov 2022 02:02:33 PM UTC
1.27,0.04,9.82,0.06,0.04,0.04,17.45,0.86,0.28,1.3,13.55,2.9,Tue 01 Nov 2022 02:03:01 PM UTC
1.14,0.02,9.76,0.06,0.04,0.04,17.08,1.16,0.33,1.51,12.43,2.9,Tue 01 Nov 2022 02:03:31 PM UTC
1.48,0.04,6.97,0.05,0.05,0.04,12.45,0.7,0.07,0.78,8.98,7.0,Tue 01 Nov 2022 02:04:00 PM UTC
1.24,0.04,24.48,0.04,0.05,0.04,9.17,0.35,0.08,0.57,15.27,5.6,Tue 01 Nov 2022 02:04:29 PM UTC
1.23,0.04,31.28,0.05,0.05,0.04,9.85,0.68,0.08,0.74,10.26,2.9,Tue 01 Nov 2022 02:04:57 PM UTC
1.26,0.04,26.95,0.05,0.05,0.04,10.56,6.83,0.25,1.15,7.92,1.4,Tue 01 Nov 2022 02:05:25 PM UTC
1.46,0.04,6.49,0.04,0.07,0.04,18.14,0.73,0.08,0.64,16.85,4.3,Tue 01 Nov 2022 02:05:53 PM UTC
1.33,25.8,38.15,0.04,0.05,0.05,17.43,0.81,0.24,1.25,26.18,1.4,Tue 01 Nov 2022 02:06:21 PM UTC
1.23,0.03,7.07,0.06,0.06,0.04,13.36,0.61,0.08,0.66,9.0,1.4,Tue 01 Nov 2022 02:06:50 PM UTC
1.31,0.04,16.22,0.06,0.05,0.04,10.21,0.49,0.07,0.59,11.22,7.2,Tue 01 Nov 2022 02:07:17 PM UTC
1.54,0.03,4.11,0.05,0.06,0.05,12.44,1.7,0.25,1.46,6.24,2.8,Tue 01 Nov 2022 02:07:45 PM UTC
1.19,0.04,5.88,1.48,0.06,0.04,10.73,2.39,0.08,0.51,11.94,4.3,Tue 01 Nov 2022 02:08:14 PM UTC
1.25,0.02,1.28,0.05,0.05,0.05,8.94,9.09,0.11,0.58,4.19,2.9,Tue 01 Nov 2022 02:08:43 PM UTC
1.35,0.04,7.58,0.05,0.05,0.04,12.31,0.82,0.36,1.97,8.75,1.5,Tue 01 Nov 2022 02:09:10 PM UTC
1.42,0.04,0.69,0.06,0.05,0.05,13.0,0.64,0.46,2.09,16.88,4.3,Tue 01 Nov 2022 02:09:40 PM UTC
1.1,0.02,17.65,0.08,0.06,0.04,11.93,0.9,0.08,0.67,11.52,7.2,Tue 01 Nov 2022 02:10:09 PM UTC
1.46,0.04,11.47,0.05,0.05,0.04,12.88,0.89,0.08,0.42,8.86,2.9,Tue 01 Nov 2022 02:10:37 PM UTC
1.39,0.03,18.14,6.65,0.05,0.04,13.7,0.84,0.48,1.85,7.37,4.3,Tue 01 Nov 2022 02:11:06 PM UTC
